id,slug,site,enricher_carrier_type,photo_count,about,verified
100,ontimeservice,https://ontime59.com/?utm_source=gmb,,152,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Offerings"": {""Repair services"": true}}",0
101,voltechelectricsolutions,https://voltech-electric.com/?utm_source=gmb,,7,"{""Service options"": {""Online estimates"": true}}",0
102,qualityelectriccompanyinc,,,,{},0
103,willdidithandymanservices,https://hardywilliam789.wixsite.com/willdidit,Mobile,53,"{""Service options"": {""Online estimates"": true}}",0
104,generatormaintenance,,,1,{},0
105,allsourceelectricalandlightningservicesllc,,,10,{},0
106,serviceandinstall,,,5,"{""From the business"": {""Identifies as Black-owned"": true}, ""Service options"": {""Online estimates"": false, ""Language assistance"": ""English""}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""Identifies as Black-owned"": true, ""LGBTQ+ friendly"": true}}",0
107,loveladyelectricalcontractors,http://www.loveladyelectricalbham.com/,Mobile,40,"{""Service options"": {""Onsite services"": true, ""Online estimates"": false}, ""Accessibility"": {""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",0
108,merrittelectricinc,https://www.alabama-electrician.com/electrician-in-fairfield/,,1,{},0
109,wadsworthelectric,http://wadsworthelectricinc.com/,,2,{},0
110,tortoriceelectricalservicesinc,,,6,{},0
111,astroelectriccoinc,https://www.astroelectricco.com/,,3,{},0
112,futureelectricconstruction,,,1,{},0
113,johnstonelectrical,,Mobile,7,{},0
114,fireflyelectricalllc,https://www.fireflyelectricalllc.com/,,23,{},0
115,libertyelectricalcontractorsllc,http://libertyelectricalcontractorsllc.com/,,,{},0
116,dockeryelectriccollc,,,1,{},0
117,emt,http://www.emtelectricalservices.com/,Mobile,6,"{""From the business"": {""Identifies as Black-owned"": true}, ""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Other"": {""Identifies as Black-owned"": true}}",0
118,tortoriceelectricialservice,,,,{},0
119,expresselectricllc,,,9,{},0
120,bledsoeselectricalandlighting,,Mobile,2,{},0
121,triplettelectricllc,http://triplettelectricllc.com/,,58,{},0
122,trinitycontractors,https://trin.com/,,34,"{""Offerings"": {""Repair services"": true}}",0
123,avanselectric,https://avanselectric.com/,,20,{},0
124,mcrelectrical,,,1,"{""Service options"": {""Online estimates"": false}}",0
125,premiergeneratorservicesinc,http://www.premiergen.com/,,,{},0
126,turgeonmaurice,,,1,{},0
127,baileyselectricalservicesandtechniciansllc,https://www.facebook.com/BESTLLC2021/,,171,{},0
128,davenportselectricalservices,https://www.davenportselectric.com/,,24,{},0
129,carterserviceshvacservicereliablehvacrepair,,Mobile,3,"{""From the business"": {""Identifies as Black-owned"": true}, ""Service options"": {""Online estimates"": true}, ""Other"": {""Identifies as Black-owned"": true}}",0
130,championelectricllc,,,1,{},0
131,thegofalltrades,,,,{},0
132,brantleyelectriccoinc,,,4,{},0
133,jdallenservices,,Mobile,13,{},0
134,sgwaldropelectricinc,,,8,{},0
135,guyselectricalservice,,,8,{},0
136,dselectricllc,,,,{},0
137,motivatedelectricalcontractors,,,1,{},0
